Gene	HGNC_Id	Entrez_Gene_Id	Condition	Inheritance	Age_Group	Allelic_Conditions	Manifestation_Categories	Intervention_Categories	Comments	Intervention_Rationale	Refs
A2M	7	2	Alpha-2-macroglobulin deficiency	AD	N/A	N/A	General	General	Variants have been implicated in pulmonary disease, but the evidence appears mixed	The clinical consequences of variants are unclear	94459; 2475424; 1370808 
A4GALT	18149	53947	Blood group, P system	BG	Pediatric		Hematologic	Hematologic		Variants associated with a blood group may be important in specific situations (eg, related to transfusion)	10993874
AAAS	13666	8086	Achalasia-addisonianism-alacrimia syndrome	AR	Pediatric		Dermatologic; Endocrine; Gastrointestinal; Neurologic; Ophthalmologic	Endocrine		Surveillance and treatment/preventive measures (with substitution therapy) to avoid sequelae of adrenal insufficiency, including adrenal crisis , may be beneficial	78049; 6243664; 3565479; 1537368; 8006362; 7895750; 8757578; 11062474; 11159947; 11914417; 12429595; 12752575; 16264411; 16938764; 8628786; 19172511; 18172684; 20051279; 20200814; 20499090; 20447142; 21565631 
AARS	20	16	Charcot-Marie-Tooth disease, axonal, type 2N	AD	N/A	N/A	Audiologic/Otolaryngologic; Neurologic	General	The condition can include hearing loss, which is described as postlingual	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	20045102; 22206013; 22009580; 22573628
AARS2	21022	57505	Combined oxidative phosphorylation deficiency 8	AR	N/A	N/A	Biochemical; Cardiovascular; Musculoskeletal; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	21549344
AASS	17366	10157	Hyperlysinemia	AR	N/A	N/A	Biochemical	General	Other than increased serum lysine, the evidence of a common phenotype is unclear, and there does not appear to be evidence that measures such as protein restriction or other metabolic treatments are effective	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	14209691; 5796356; 5557172; 934735; 10775527; 23570448
ABAT	23	18	GABA-transaminase deficiency	AR	N/A	N/A	Biochemical; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	6148708; 4020531; 10407778
ABCA1	29	19	ABCA1 deficiency; Tangier disease; HDL deficiency, type 2	AR	Pediatric	Allelic with Familial hypoalphalipoproteinemia (AD)	Cardiovascular; Neurologic; Ophthalmologic	Cardiovascular	Familial hypoalphalipoproteinemia (HDL deficiency, type 2) may involve increased risk of cardiovascular disease	Early cardiovascular events are common (eg, myocardial infarctions due to atherosclerosis), and while specific medical therapy is not currently available, preventive measures to decrease additional contributory atherosclerotic risk factors, as well as surveillance to allow early diagnosis and treatment of cardiovascular manifestations, may be beneficial	14162531; 5831900; 4165386; 4165172; 198431; 190272; 194920; 195100; 75948; 7406376; 4082916; 3677505; 3799433; 3314502; 8432861; 7627690; 10431237; 10431236; 10525055; 9888879; 10533863; 16343506; 10535983;  10431238; 11086027; 11476965; 12084722; 12111371; 12111381; 12702168; 14742612; 16343506; 18955690; 19723515; 22179783; 22913675; 23430904
ABCA12	14637	26154	Ichthyosis, harlequin; Ichthyosis, lamellar, type 2	AR 	N/A	N/A	Dermatologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	8204475; 12208260; 12915478; 16007253; 15756637; 16902423; 21339420; 21729033; 22257947 
ABCA3	33	21	Surfactant metabolism dysfunction, pulmonary, 3; Interstitial lung disease	AD/AR	Pediatric		Pulmonary	Pulmonary		Individuals may present in infancy with severe respiratory insufficiency (a presentation in early childhood ascribed to a heterozygous mutation has also beeen described), and diagnosis has important therapeutic implications, as BMT can be effective; Lung transplant may be beneficial in some individuals	15044640; 15976379; 15819986; 15985750; 17719949; 22337229; 22304854; 23166334  
ABCA4	34	24	Cone-rod dystrophy 3; Retinitis pigmentosa 19; Stargardt disease 1; Retinal dystrophy, early-onset severe; Fundus flavimaculatus	AR	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	9054934; 9466990; 9425888; 9781034; 10442900; 10874631; 10396622; 11818392; 12515255; 12796258; 16896346; 16682602; 11385708; 21510770; 21786275; 22229821; 22312191; 22328824; 22395892; 22661473; 22863181; 23096905 
ABCB1	40	5243	Colchicine metabolism, association with	AD	Pediatric		General	Pharmacogenomic		Selection and dosing of medications (eg,colchicine) may be affected by the presence of variants	7188928; 7129432; 17259950; 18973929; 21851199
ABCB11	42	8647	Cholestasis, progressive familial intrahepatic 2	AD/AR	Pediatric	Allelic with Cholestasis, benign recurrent intrahepatic, 2 (AR)	Gastrointestinal; Oncologic	Gastrointestinal; Oncologic	The condition may involve multiple interacting variants	In severe forms, specific nutritional care may be beneficial (eg, including specific vitamin E supplementation); Individuals are at high risk for hepatocellular carcinoma early in life, and surveillance and early treatment may be beneficial; Recurrence after liver transplant may benefit from immunosuppresive treatment; Liver transplant may be indicated	9806540; 10579978; 15300568; 16039748; 16871584; 20301474; 19797282; 21055686; 21766090; 21219577; 22675952 
