"Gene"	"Disease"	"Inheritance_JS"	"MedicalAction"	"ModifiedInh_JS"	"Source"	"Inheritance_source"	"Gene_ReviewedJS"	"Comments_JS"
"HBB"	"Sickle cell anemia, 603903 (3); Thalassemias, beta-, 604131 (3);Erythremias, beta- (3); Methemoglobinemias, beta- (3); Heinz body anemias, beta-, 140700 (3); Thalassemia-beta, dominant inclusion-body, 603902 (3);Hereditary persistence of fetal hemoglobin (3) "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"HBB"	""
"PROC"	"Thrombophilia due to protein C deficiency, autosomal dominant,176860 (3); Thrombophilia due to protein C deficiency, autosomal recessive, 612304 (3) "	"CX"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"CX"	"PROC"	""
"F10"	"Factor X deficiency (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"F10"	""
"F11"	"Factor XI deficiency, autosomal recessive, 612416 (3); Factor XIdeficiency, autosomal dominant, 612416 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"F11"	""
"F12,HAF,HAE3"	"Factor XII deficiency, 234000 (3); Angioedema, hereditary, type III,610618 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"F12"	""
"F13A1,F13A"	"Factor XIIIA deficiency, 613225 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"F13A1"	""
"F13B"	"Factor XIIIB deficiency, 613235 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"F13B"	""
"F5"	"Factor V deficiency, 227400 (3); {Thrombophilia, susceptibility to,due to factor V Leiden}, 188055 (3); {Stroke, ischemic, susceptibility to}, 601367 (3); {Budd-Chiari syndrome}, 600880 (3); {Thrombophilia,susceptibility to, due to activated protein C resistance}, 188055 (3) "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"F5"	""
"F7"	"Factor VII deficiency (3); {Myocardial infarction, decreasedsusceptibility to} (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"F7"	""
"F8,F8C,HEMA"	"Hemophilia A (3)  "	"XR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"XR"	"F8"	""
"F9,HEMB"	"Hemophilia B, 306900 (3); {Warfarin sensitivity}, 122700 (3);Thrombophilia, X-linked, due to factor IX defect, 300807 (3)  "	"XR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"XR"	"F9"	""
"GGCX"	"Vitamin K-dependent coagulation defect, 277450 (3);Pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency, 610842 (3) "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"GGCX"	""
"GH1,GHN,IGHD1B"	"Growth hormone deficiency, isolated, type IA, 262400 (3); Growthhormone deficiency, isolated, type IB, 612781 (3); Growth hormone deficiency, isolated, type II, 173100 (3); Kowarski syndrome, 262650 (3) "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"GH1"	""
"GHRHR,GHRFR,IGHD1B"	"Growth hormone deficiency, isolated, type IB, 612781 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"GHRHR"	""
"HAMP,LEAP1,HEPC,HFE2B"	"Hemochromatosis, type 2B, 613313 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"HAMP"	""
"HFE,HFE1,MVCD7"	"Hemochromatosis, 235200 (3); {Microvascular complications of diabetes7}, 612635 (3); {Porphyria variegata, susceptibility to}, 176200 (3); {Porphyria cutanea tarda, susceptibility to}, 176100 (3); {Alzheimer disease,susceptibility to}, 104300 (3); [Transferrin serum level QTL], 190000 (3) "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"HFE"	""
"HJV,HFE2A,HFE2"	"Hemochromatosis, type 2A, 602390 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"HFE2"	""
"SLC40A1,SLC11A3,FPN1,IREG1,HFE4"	"Hemochromatosis, type 4, 606069 (3)  "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"SLC40A1"	""
"LDLR,FHC,LDLCQ2"	"Hypercholesterolemia, familial, 143890 (3); LDL cholesterollevel QTL2 (3)  "	"CX"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"CX"	"LDLR"	""
"LDLRAP1,ARH,FHCB2,FHCB1"	"Hypercholesterolemia, familial, autosomal recessive, 603813 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"LDLRAP1"	""
"ACADM,MCAD"	"Acyl-CoA dehydrogenase, medium chain, deficiency of, 201450 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"ACADM"	""
"ARG1"	"Argininemia, 207800 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"ARG1"	""
"ASL"	"Argininosuccinic aciduria, 207900 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"ASL"	""
"BCKDHA,MSUD1"	"Maple syrup urine disease, type Ia, 248600 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"BCKDHA"	""
"BCKDHB,E1B"	"Maple syrup urine disease, type Ib, 248600 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"BCKDHB"	""
"BTD"	"Biotinidase deficiency, 253260 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"BTD"	""
"CABC1,COQ8,ADCK3,SCAR9,ARCA2"	"Coenzyme Q10 deficiency, 607426 (3); Spinocerebellar ataxia,autosomal recessive 9, 612016 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"ADCK3"	""
"CBS"	"Homocystinuria, B6-responsive and nonresponsive types, 236200 (3);Thrombosis, hyperhomocysteinemic, 236200 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"CBS"	""
"CD320,8D6,8D6A,TCBLR"	"Methylmalonic aciduria due to transcobalamin receptor defect,613646 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"CD320"	""
"COQ2"	"Coenzyme Q10 deficiency, 607426 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"COQ2"	""
"COQ9,C16orf49"	"Coenzyme Q10 deficiency, 607426 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"COQ9"	""
